nombre;id;detalle_url;latitud;longitud;localidad;region;precio;superficie_construida;superficie_til;superficie_solar;habitaciones;baos;antigedad;conservacin;referencia;armarios_empotrados;carpintera_interior;tipo_suelo;carpintera_exterior;chimenea;cocina_equipada;comedor;lavadero;puerta_blindada;sistema_de_seguridad;terraza;jardn;orientacin;urbanizado;calle_alumbrada;calle_asfaltada;se_aceptan_mascotas;tipo_de_casa;garaje;piscina;gastos_de_comunidad;agua;aire_acondicionado;calefaccin;trastero;amueblado;vidrios_dobles;luz;telfono;adaptado_a_personas_con_movilidad_reducida;gas;no_se_aceptan_mascotas;ascensor;planta;exterior;balcn;soleado;portero_automtico;interior;fecha
Chalet en Valle del Sol;50031369678,106;https://www.pisos.com/comprar/chalet-mutxamel_centro_urbano-50031369678_106000/;38,456143;-0,5116271;Mutxamel;Alicante;550.000 €;500 m²;;3.100 m²;5;4.0;Entre 30 y 50 años;En buen estado;25288;TRUE;;Gres;Aluminio;;Independiente;2;;;;2;;;;;;;;1;;;Termo electrico;A/a f/c;;;Semi amueblado;;;;;;;;;;;;;;Desconocida_Revisada
Casa pareada en La Zenia;50031848309,1005;https://www.pisos.com/comprar/casa_pareada-cabo_roig_la_zenia_la_regia-50031848309_100500/;37,921414728;-0,734830886;Orihuela;Alicante;495.000 €;176 m²;96 m²;143 m²;3;2.0;Menos de 5 años;;21-N28/776;1;;;;;;;;TRUE;;TRUE;TRUE;;;;;;Pareada;;Propia;;;TRUE;;TRUE;;;;;;;;;;;;;;;22/02/2026
Apartamento en Via Parque;50032230818,1005;https://www.pisos.com/comprar/apartamento-platja_de_llevant03501-50032230818_100500/;38,5449205;-0,1523647;Benidorm;Alicante;251.895 €;65 m²;48 m²;;1;1.0;Entre 10 y 20 años;;05859/1156;1;;Mármol;;;;;;TRUE;;TRUE;TRUE;Sur;;;;;;1;Comunitaria;Entre 60 y 80 €;TRUE;TRUE;TRUE;TRUE;TRUE;;;TRUE;;;;TRUE;Bajo;;True;;;;Desconocida_Revisada
Piso en Guardamar del Segura;50032325863,106;https://www.pisos.com/comprar/piso-guardamar_del_segura_centro-50032325863_106000/;38,083545146;-0,652728875;Guardamar del Segura;Alicante;285.000 €;130 m²;;;3;2.0;;En buen estado;MNF3751;;;Porcelanosa;Aluminio;;Independiente;TRUE;;;;TRUE;;;;;;;;;;;;Preinstalación;;;;;;;;;;TRUE;2ª;;;;;;20/01/2026
Chalet en Avenida de Huelva;50032441776,1005;https://www.pisos.com/comprar/chalet-ciudad_quesada-50032441776_100500/;38,0606053;-0,7181838;Rojales;Alicante;799.852 €;134 m²;122 m²;562 m²;3;2.0;Menos de 5 años;;NB-3c0032/10824;1;;;;;;TRUE;;;;TRUE;;Norte;TRUE;;;;;;Propia;;;;;;;;;;;;;;;;;;;;04/01/2026
"Chalet en Urbanitzaci&#xF3; El Planet, 45";50032892696,1085;https://www.pisos.com/comprar/chalet-urbanitzacions-50032892696_108500/;38,5628;-0,133802;Benidorm;Alicante;1.990.000 €;600 m²;432 m²;;6;7.0;;;CHA0031;TRUE;;;;TRUE;;;;TRUE;;;TRUE;Sureste;;;;True;;1;Privada;;;TRUE;;TRUE;;TRUE;;;True;;;;;;;;;;Desconocida_Revisada
Casa en Pueblo Latino;50033663292,1085;https://www.pisos.com/comprar/casa-pueblo_latino-50033663292_108500/;37,872552359;-0,759547653;Pilar de la Horadada;Alicante;598.000 €;140 m²;120 m²;;4;2.0;;;4502;TRUE;;Gres;;TRUE;Individual;;;TRUE;;;TRUE;Sur;;;;;;;Privada;;;TRUE;Eléctrica;TRUE;TRUE;;;;True;;;;;;;;;;13/02/2026
Chalet en Lirios;50033803595,1089;https://www.pisos.com/comprar/chalet-el_poble_nou_de_benitatxell_benitachell_centro_urb-50033803595_108900/;38,711821345;0,155389347;El Poble Nou de Benitatxell Benitachell;Alicante;1.100.000 €;337 m²;;853 m²;3;3.0;Entre 5 y 10 años;;CDSSA-2356;;;;;;TRUE;TRUE;TRUE;;TRUE;TRUE;TRUE;Sureste;;;;;;;Private;;;Duct based;Radiating floor;TRUE;TRUE;;;;;;;;;;;;;;01/11/2025
Piso en Pedreguer;50034009185,1007;https://www.pisos.com/comprar/piso-pedreguer_centro_urbano-50034009185_100700/;38,8075984;0,0517724;Pedreguer;Alicante;457.000 €;174 m²;174 m²;;4;3.0;Entre 20 y 30 años;;FRRE-00468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;1ª;;;;;;11/09/2025
Casa en Aspe;50034165398,1005;https://www.pisos.com/comprar/casa-aspe_centro_urbano-50034165398_100500/;38,343857795;-0,766725309;Aspe;Alicante;67.260 €;117 m²;;;5;1.0;Más de 50 años;;29193/47;;;;;TRUE;;TRUE;;;;TRUE;;;;;;;;;;;TRUE;;;;;;;TRUE;;;;;;;;;;;22/09/2025
"&#xC1;tico en Avenida l&#x27;Almassera";50034417858,1005;https://www.pisos.com/comprar/atico-sol_y_luz-50034417858_100500/;38,396861306;-0,51529102;Sant Vicent del Raspeig San Vicente del Raspeig;Alicante;280.000 €;160 m²;155 m²;;3;2.0;Entre 20 y 30 años;;REM_P02399/10936;;;;;;;;;;;TRUE;TRUE;Este;;;;;;1;Comunitaria;;TRUE;TRUE;Eléctrica;;;;;;;;;TRUE;7ª;;True;;;;14/01/2025
Apartamento en Platja de Ponent;50034519294,1085;https://www.pisos.com/comprar/apartamento-platja_de_ponent-50034519294_108500/;38,5348097;-0,1594698;Benidorm;Alicante;625.000 €;160 m²;153 m²;;3;2.0;;;AP0259;TRUE;;Mármol;;TRUE;Individual;;;TRUE;;Acristalada;Comunitario;Sur;;;;;;1;Comunitaria;;;TRUE;TRUE;;TRUE;TRUE;;;;;;TRUE;;TRUE;;;;;23/02/2026
Chalet en La Lluca;50034611705,1005;https://www.pisos.com/comprar/chalet-los_cerezos_la_mandarina_la_finca_covatelles03739-50034611705_100500/;38,7504776;0,1470464;"X&#xE0;bia J&#xE1;vea";Alicante;3.620.000 €;1.100 m²;1.000 m²;5.835 m²;13;14.0;Entre 30 y 50 años;;05209/720;1;;;;TRUE;;TRUE;;TRUE;TRUE;TRUE;TRUE;Sur;TRUE;;;;;1;Propia;;TRUE;TRUE;;TRUE;TRUE;;;TRUE;;;;;;;;;;;22/02/2026
Apartamento en Rincon de Loix Alto;50034654169,1005;https://www.pisos.com/comprar/apartamento-raco_de_oix03503-50034654169_100500/;38,535925242;-0,102901836;Benidorm;Alicante;229.950 €;69 m²;65 m²;;1;1.0;Entre 20 y 30 años;;05854/1156;1;;Tarima flotante;;;;;;TRUE;;TRUE;TRUE;Sureste;;;;;;;Comunitaria;Entre 60 y 80 €;TRUE;TRUE;TRUE;;TRUE;;;TRUE;;;;TRUE;14ª;;;;;;24/02/2026
Casa pareada en Barranco Hondo;50035495919,1005;https://www.pisos.com/comprar/casa_pareada-la_nucia_centro_urbano-50035495919_100500/;38,619795432;-0,133768129;La Nucia;Alicante;315.000 €;315 m²;128 m²;187 m²;3;3.0;Entre 10 y 20 años;;05866/1156;1;;Terrazo;;;;;;TRUE;;;TRUE;Este;TRUE;;;;Pareada;1;;Entre 10 y 20 €;TRUE;;;;TRUE;;;TRUE;;;;;;;;;;;21/02/2026
Casa adosada en Centro Comercial Monte y Mar;50035609977,1005;https://www.pisos.com/comprar/casa_adosada-gran_alacant-50035609977_100500/;38,2388579;-0,538951;Santa Pola;Alicante;289.000 €;170 m²;160 m²;200 m²;2;2.0;;;12151/222;;;Mármol;;;;;;TRUE;;TRUE;;;;;;;Adosada;;;;TRUE;TRUE;;;TRUE;;;;;;;;;;;;;;Desconocida_Revisada
Casa adosada en calle Cda. Quesada;50035874233,1005;https://www.pisos.com/comprar/casa_adosada-ciudad_quesada-50035874233_100500/;38,080695;-0,7019925;Rojales;Alicante;650.000 €;109 m²;108 m²;229 m²;3;3.0;Menos de 5 años;;NB-3c0018/10824;1;;;;;;TRUE;;;;TRUE;TRUE;Norte;TRUE;;;;Adosada;;Propia;;;;;;;;;;;;;;;;;;;;02/01/2026
Apartamento en Urbanizacion Arboleda;50036431041,1005;https://www.pisos.com/comprar/apartamento-pego_centro_urbano-50036431041_100500/;38,8433063;-0,0595526;Pego;Alicante;159.990 €;77 m²;;;2;1.0;Entre 30 y 50 años;;JOEL176/1909;1;;;;;;;;;;TRUE;TRUE;;;;;;;1;Comunitaria;;;TRUE;;;;;;;;;;;2ª;;True;;;;19/01/2026
Chalet en Mutxamel;50036435688,106;https://www.pisos.com/comprar/chalet-mutxamel_centro_urbano-50036435688_106000/;38,437456479;-0,426884606;Mutxamel;Alicante;450.000 €;120 m²;;500 m²;3;2.0;;En buen estado;38093B;TRUE;;Porcelanosa;Aluminio;;Office;TRUE;;;;2;;;;;;;;;;;Termo electrico;Preinstalación;;;;;;;;;;;;;;;;;18/11/2025
Chalet en calle Avenida de Zamora;50036524941,1005;https://www.pisos.com/comprar/chalet-benijofar_centro_urbano-50036524941_100500/;38,072704727;-0,738183704;"Benij&#xF3;far";Alicante;465.000 €;138 m²;138 m²;172 m²;3;3.0;Menos de 5 años;;NB-3c0034/10824;1;;;;;;TRUE;;;;TRUE;;Norte;TRUE;;;;;;Propia;;;;;TRUE;;;;;;;;;;;;;;;05/08/2025
Casa unifamiliar en Villamartin;50036701650,1089;https://www.pisos.com/comprar/casa_unifamiliar-las_filipinas_villamartin_canal_norte03189-50036701650_108900/;37,926514616;-0,754830231;Orihuela;Alicante;350.000 €;110 m²;;;3;2.0;;En buen estado;TOR-9444;;;;;;;;;;;;;;;;;;Unifamiliar;;;;;;;;;;;;;;;;;;;;;;24/02/2026
Chalet en El Moralet;50036928847,106;https://www.pisos.com/comprar/chalet-el_moralet-50036928847_106000/;38,4191035;-0,5746543;Alicante Alacant;Alicante;660.000 €;350 m²;;3.000 m²;3;3.0;;En buen estado;MNF25352;TRUE;;Gres;Aluminio;;Independiente;TRUE;;;;2;;;;;;;;1;;;Termo electrico;A/a f/c;Eléctrica;;Semi amueblado;;;;;;;;;;;;;;13/11/2025
"Apartamento en El Montg&#xF3;";50037134347,1056;https://www.pisos.com/comprar/apartamento-el_montgo-50037134347_105600/;38,8335402;0,1114217;"D&#xE9;nia";Alicante;239.000 €;51 m²;;;1;1.0;;;NB-20089;;;;;;;;;;;;;;;;;;;;TRUE;;;;;;;;;;;;;;;;;;;;Desconocida_Revisada
Casa pareada en calle Meridiano, 10;50037285445,1005;https://www.pisos.com/comprar/casa_pareada-aguas_nuevas_torreblanca_sector_2503183-50037285445_100500/;37,9987;-0,668266;Torrevieja;Alicante;479.000 €;250 m²;122 m²;433 m²;4;2.0;Entre 20 y 30 años;;21-T11/776;1;;;;;;;;TRUE;;TRUE;TRUE;Sur;TRUE;;;;Pareada;;TRUE;;TRUE;TRUE;;TRUE;TRUE;;;;;;;;;;;;;;Desconocida_Revisada
Chalet en Carrer de las Ruinas de Petra;50038034945,1005;https://www.pisos.com/comprar/chalet-san_fulgencio_centro_urbano-50038034945_100500/;38,140494263;-0,667427864;San Fulgencio;Alicante;636.000 €;398 m²;;945 m²;4;4.0;Entre 5 y 10 años;En buen estado;AL0063;1;;;;;;;;;;TRUE;TRUE;Sur;;;;;;1;TRUE;;;TRUE;;TRUE;;;;;;;;;;;;;;;01/09/2025
Chalet en calle Indira Gandhi;50038404621,1005;https://www.pisos.com/comprar/chalet-benijofar_centro_urbano-50038404621_100500/;38,063868134;-0,742350063;"Benij&#xF3;far";Alicante;497.000 €;131 m²;130 m²;683 m²;3;2.0;;;NB-3c0026/10824;1;;;;;;TRUE;;;;TRUE;;Norte;TRUE;;;;;;Propia;;;TRUE;;TRUE;TRUE;;;;;;;;;;;;;;05/08/2025
Chalet en Tolls;50038743698,106;https://www.pisos.com/comprar/chalet-poble_de_llevant03502-50038743698_106000/;38,5470523;-0,1272692;Benidorm;Alicante;310.000 €;95 m²;;120 m²;2;2.0;;En buen estado;17201;1;;Tarima flotante;Aluminio;;Independiente;TRUE;;;;;;;;;;;;1;;;Termo gas;;;;Semi amueblado;;;;;;;;;;;;;;13/11/2025
Chalet en Matola-La Foia-Las Bayas-La Marina;50039426987,5165;https://www.pisos.com/comprar/chalet-matola_la_foia_las_bayas_la_marina03296-50039426987_516543/;38,248920672;-0,71601118;Elx Elche;Alicante;398.000 €;260 m²;200 m²;7.000 m²;6;4.0;;En buen estado;003739;;;Gres;;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Privado;Sureste;;;TRUE;;;;Propia;;;Frío y calor;;;;TRUE;;TRUE;True;;;;;;;;;;Desconocida_Revisada
Chalet en Busot;50039489063,106;https://www.pisos.com/comprar/chalet-busot_centro_urbano-50039489063_106000/;38,497522282;-0,423475473;Busot;Alicante;228.900 €;180 m²;140 m²;2.250 m²;3;2.0;;En buen estado;18330R;;;Gres;Aluminio;;Independiente;TRUE;;;;TRUE;;;;;;;;1;;;Termo gas;;;;;;;;;;;;;;;;;;11/12/2025
Chalet en Puig Campana Golf;50039501750,106;https://www.pisos.com/comprar/chalet-urbanizacion_golf_bahia-50039501750_106000/;38,547823;-0,1750437;Finestrat;Alicante;1.679.000 €;620 m²;;1.600 m²;5;6.0;Menos de 5 años;En buen estado;18329;TRUE;;Porcelanosa;Aluminio;;Office;2;;;;3;;;;;;;;;;;Solar;A/a f/c centralizado;TRUE;;Semi amueblado;;;;;;;;;;;;;;13/11/2025
Chalet en Bonavista;50039889043,1005;https://www.pisos.com/comprar/chalet-elx_elche_pedanias_norte03207-50039889043_100500/;38,300237;-0,6859491;Elx Elche;Alicante;637.000 €;290 m²;284 m²;2.000 m²;4;3.0;Entre 20 y 30 años;;05384/720;1;;Mármol;;TRUE;;TRUE;;TRUE;;TRUE;TRUE;Sureste;TRUE;;;;;1;Propia;;TRUE;TRUE;Gas natural;TRUE;TRUE;;;TRUE;;;;;;;;;;;23/02/2026
Chalet en calle de los Chirrines;50040483900,1005;https://www.pisos.com/comprar/chalet-san_miguel_de_salinas_centro_urbano-50040483900_100500/;37,95512311;-0,792736289;San Miguel de Salinas;Alicante;630.000 €;144 m²;95 m²;350 m²;3;3.0;Menos de 5 años;;NB-3c0023/10824;1;;;;;;TRUE;;;;TRUE;;Sur;TRUE;;;;;;Propia;;;;;;;;;;;;;;;;;;;;22/01/2026
Apartamento en Alenda Golf;50040682017,4342;https://www.pisos.com/comprar/apartamento-ermita_de_san_pascual-50040682017_434200/;38,361381915;-0,679550728;Monforte del Cid;Alicante;255.000 €;139 m²;118 m²;;3;2.0;Menos de 5 años;A estrenar;004258;Más de 2;TRUE;Tarima flotante;PVC;;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Privado;;;;;;;1;Comunitaria;;;Frío y calor;;TRUE;TRUE;TRUE;;;;;;;Bajo;;;TRUE;TRUE;;02/02/2026
"Apartamento en El Montg&#xF3;";50040803306,1056;https://www.pisos.com/comprar/apartamento-el_montgo-50040803306_105600/;38,8335402;0,1114217;"D&#xE9;nia";Alicante;302.000 €;99 m²;;;3;2.0;;;NB-95385;;;;;;;;;;;;;;;;;;;;TRUE;;;;;;;;;;;;;;;;;;;;Desconocida_Revisada
Casa en Bonalba;50040835174,106;https://www.pisos.com/comprar/casa-partidas_de_alicante_montnegre-50040835174_106000/;38,4611244;-0,5103254;Alicante Alacant;Alicante;499.900 €;300 m²;;9.100 m²;5;2.0;Entre 20 y 30 años;En buen estado;3728R;TRUE;;Terrazo;Aluminio;;Independiente;TRUE;;;;TRUE;;;;;;;;Más de 2;;;Termo electrico;A/a f/c;TRUE;;;;;;;;;;;;;;;;13/11/2025
Piso en calle Mayor;50040975008,1005;https://www.pisos.com/comprar/piso-casco_antiguo_santa_cruz03002-50040975008_100500/;38,3451038;-0,4820289;Alicante Alacant;Alicante;250.000 €;90 m²;;;3;1.0;;En buen estado;mayania;1;;;;;Cocina equipada;;;;;;;Sur;;;;;;;;;;Frío;;;;;;;;;;TRUE;2ª;TRUE;;;;;Desconocida_Revisada
"&#xC1;tico en Finestrat";50041093980,1056;https://www.pisos.com/comprar/atico-finestrat-50041093980_105600/;38,542258103;-0,181023169;Finestrat;Alicante;305.000 €;73 m²;;;2;2.0;;;NB-96198;;;;;;;;;;;;;;;;;;;;TRUE;;;;;;;;;;;;;;;;;;;;16/02/2026
Chalet en Lo Romero Golf;50041109702,1005;https://www.pisos.com/comprar/chalet-pilar_de_la_horadada_pinar_de_campoverde-50041109702_100500/;37,890744923;-0,833564718;Pilar de la Horadada;Alicante;499.000 €;111 m²;100 m²;280 m²;3;3.0;Menos de 5 años;;SDP04746BP/3696;1;;;;;;;;TRUE;;TRUE;TRUE;;TRUE;;;;;;Propia;;;;;;;;;;;;;;;;;;;;20/01/2026
"Chalet en Pol&#xED;gono Cachapets";50041130219,106;https://www.pisos.com/comprar/chalet-crevillent_centro_urbano-50041130219_106000/;38,223788948;-0,815328029;Crevillent;Alicante;1.999.900 €;600 m²;;30.000 m²;7;5.0;;;0025278;TRUE;;;;;;3;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13/11/2025
Chalet en Los Balcones;50041338830,1005;https://www.pisos.com/comprar/chalet-los_balcones_los_altos_punta_prima03186-50041338830_100500/;37,9633423;-0,7303477;Torrevieja;Alicante;640.000 €;230 m²;200 m²;859 m²;4;3.0;Entre 30 y 50 años;;623-208F1/1350;1;;;;TRUE;;;;TRUE;;TRUE;TRUE;;TRUE;;;;;1;Propia;;TRUE;TRUE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;16/02/2026
Piso en Carrer Finlandia;50041869696,1097;https://www.pisos.com/comprar/piso-playa_de_levante_o_la_fossa-50041869696_109700/;38,6500992;0,070495;Calpe Calp;Alicante;377.000 €;84 m²;;;2;2.0;;A estrenar;6209;2;;;;;;;;;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14/11/2025
Chalet en calle de los Chirrines;50041903159,1005;https://www.pisos.com/comprar/chalet-san_miguel_de_salinas_centro_urbano-50041903159_100500/;37,95512311;-0,792736289;San Miguel de Salinas;Alicante;1.250.000 €;197 m²;196 m²;500 m²;4;4.0;Menos de 5 años;;NB-4c0004/10824;1;;;;;;TRUE;;;;TRUE;;Norte;TRUE;;;;;;Propia;;;;;;;;;;;;;;;;;;;;22/01/2026
Chalet en Gargasindi;50042245279,1005;https://www.pisos.com/comprar/chalet-las_adelfas_benicolada_garduix-50042245279_100500/;38,656706542;0,049619559;Calpe Calp;Alicante;1.350.000 €;530 m²;515 m²;1.500 m²;4;3.0;Entre 20 y 30 años;;00731/10145;;;;;;;;;;;TRUE;TRUE;;TRUE;;;;;1;Propia;;TRUE;;Gas natural;TRUE;;;;;;;;;;;;;;;17/04/2025
"Chalet en Benij&#xF3;far";50042407817,1005;https://www.pisos.com/comprar/chalet-benijofar_centro_urbano-50042407817_100500/;38,076372;-0,7400037;"Benij&#xF3;far";Alicante;478.732 €;120 m²;100 m²;414 m²;3;2.0;Menos de 5 años;;21-N27/776;1;;;;;;;;;;TRUE;TRUE;;TRUE;;;;;;Propia;;;;;;;;;;;;;;;;;;;;23/02/2026
Chalet en Algorfa;50042410497,1005;https://www.pisos.com/comprar/chalet-las_filipinas_villamartin_canal_norte03189-50042410497_100500/;37,939014462;-0,75130712;Orihuela;Alicante;619.000 €;119 m²;110 m²;422 m²;3;2.0;Menos de 5 años;;VIPATVL2017/2695;1;;;;;;;;;TRUE;TRUE;TRUE;Sur;TRUE;;;;;1;;;TRUE;;Central;;;;;;;;;;;;;;;;20/02/2026
Piso en Carrer de la Zarzuela;50042473753,1007;https://www.pisos.com/comprar/piso-elda_centro_urbano-50042473753_100700/;38,48124984;-0,79920229;Elda;Alicante;27.000 €;79 m²;79 m²;;4;3.0;;;FRRE-00401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06/08/2025
Piso en Avenida de Valencia;50042749211,1005;https://www.pisos.com/comprar/piso-pego_centro_urbano-50042749211_100500/;38,845502254;-0,115608371;Pego;Alicante;139.000 €;119 m²;115 m²;;3;2.0;Entre 10 y 20 años;;102VAL139.FPV-3IN/3716;1;;;;;;TRUE;;TRUE;;;;Este;;;;;;;;Entre 60 y 80 €;TRUE;TRUE;Central;;TRUE;;;TRUE;;;;TRUE;2ª;;True;;;;17/02/2026
Apartamento en Pilar de la Horadada;50042767514,1056;https://www.pisos.com/comprar/apartamento-pilar_de_la_horadada-50042767514_105600/;37,8876974;-0,8298301;Pilar de la Horadada;Alicante;239.900 €;74 m²;;;2;2.0;;;NB-45565;;;;;;;;;;;;;;;;;;;;TRUE;;;;;;;;;;;;;;;;;;;;Desconocida_Revisada
Chalet en Teulada;50042930125,1089;https://www.pisos.com/comprar/chalet-teulada-50042930125_108900/;38,732915657;0,090101023;Teulada;Alicante;780.000 €;250 m²;202 m²;;5;4.0;;En buen estado;1809;;;;;;;;;;;TRUE;;;;;;;;1;Propia;;TRUE;;;TRUE;;;;;;;;;;;;;;;Desconocida_Revisada
"Chalet en L&#x27;Albir";50042944279,1089;https://www.pisos.com/comprar/chalet-alfas_del_pi_albir-50042944279_108900/;38,5621572;-0,070599;"L&#x27;alf&#xE0;s del Pi";Alicante;1.450.000 €;377 m²;;910 m²;4;5.0;;;V2152;;;;;;TRUE;TRUE;;TRUE;;;TRUE;;;;;;;TRUE;Yes;;;;Duct based;;;;;;;;;;;;;;;;24/02/2026
Casa en Los Balcones;50042996442,1005;https://www.pisos.com/comprar/casa-los_balcones_los_altos_punta_prima03186-50042996442_100500/;37,967903;-0,7405617;Torrevieja;Alicante;329.900 €;178 m²;170 m²;;2;2.0;Menos de 5 años;;VIISNR86/2695;1;;;;;;TRUE;;TRUE;;TRUE;;Norte;TRUE;;;;;;Comunitaria;Entre 80 y 100 €;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;Desconocida_Revisada
Apartamento en Finestrat;50043108204,1056;https://www.pisos.com/comprar/apartamento-finestrat-50043108204_105600/;38,543498186;-0,180456278;Finestrat;Alicante;275.000 €;73 m²;;;2;2.0;;;NB-38243;;;;;;;;;;;;;;;;;;;;TRUE;;;;;;;;;;;;;;;;;;;;Desconocida_Revisada
Chalet en Cumbre del Sol;50043715925,1093;https://www.pisos.com/comprar/chalet-el_poble_nou_de_benitatxell_benitachell_centro_urb-50043715925_109300/;38,712647746;0,152914228;El Poble Nou de Benitatxell Benitachell;Alicante;2.135.000 €;470 m²;;878 m²;3;3.0;;;VCS6018;;;;;;TRUE;;TRUE;TRUE;TRUE;TRUE;TRUE;Oeste;;;;;;TRUE;∞;;;Duct based;Radiating floor;TRUE;;;;;;;;;;;;;;;14/02/2026
"Chalet en Muro D&#x27;alcoi";50044227260,1005;https://www.pisos.com/comprar/chalet-muro_de_alcoy_centro_urbano-50044227260_100500/;38,778932574;-0,435394536;Muro de Alcoy;Alicante;110.000 €;500 m²;;;6;1.0;;A estrenar;1208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Desconocida_Revisada
Chalet en calle Tarragona;50044679671,1005;https://www.pisos.com/comprar/chalet-ciudad_quesada-50044679671_100500/;38,0608134;-0,7207232;Rojales;Alicante;813.500 €;205 m²;205 m²;621 m²;3;3.0;Menos de 5 años;;NB-3c0028/10824;1;;;;;;TRUE;;;;TRUE;;Norte;TRUE;;;;;;Propia;;;;;;;;;;;;;;;;;;;;30/12/2025
Piso en Vistahermosa;50044847707,106;https://www.pisos.com/comprar/piso-goteta03016-50044847707_106000/;38,357904611;-0,466931223;Alicante Alacant;Alicante;363.900 €;130 m²;;;4;2.0;;En buen estado;17132;TRUE;;Gres;Madera;;Independiente;TRUE;;;;TRUE;;;;;;;;1;;;Termo electrico;A/a f/c;TRUE;;;;;;;;;TRUE;8ª;;;;;;13/11/2025
Chalet en Benissa Costa;50044910518,1093;https://www.pisos.com/comprar/chalet-cala_advocat_baladrar-50044910518_109300/;38,679363755;0,103081679;Benissa;Alicante;2.499.000 €;495 m²;;770 m²;4;4.0;;;VBS0558;;;;;;TRUE;;TRUE;TRUE;TRUE;TRUE;TRUE;Suroeste;;;;;;TRUE;∞;;;Duct based;Radiating floor;TRUE;;;;;;;;;;;;;;;28/08/2025
Piso en Playa San Juan;50045152907,106;https://www.pisos.com/comprar/piso-playas_playa_de_san_juan03540-50045152907_106000/;38,3628175;-0,4209348;Alicante Alacant;Alicante;420.000 €;112 m²;;;2;2.0;;En buen estado;17276;TRUE;;Mármol;Aluminio;;Office;TRUE;;;;TRUE;;;;;;;;1;;;Gas natural;A/a f/c centralizado;;;;;;;;;;TRUE;2ª;;;;;;Desconocida_Revisada
Casa adosada en La Marina - Urb. La Marina;50045557623,106;https://www.pisos.com/comprar/casa_adosada-san_fulgencio_centro_urbano-50045557623_106000/;38,13403249;-0,682006246;San Fulgencio;Alicante;223.000 €;110 m²;;;;;;;17292;;;Gres;Aluminio;;Independiente;;;;;;;;;;;;Adosada;;;;Termo electrico;A/a f/c;;;;;;;;;;;;;;;;;Desconocida
Chalet en Lago Jardin;50045697565,1005;https://www.pisos.com/comprar/chalet-los_balcones_los_altos_punta_prima03186-50045697565_100500/;37,9608431;-0,7346027;Torrevieja;Alicante;675.000 €;250 m²;220 m²;600 m²;5;6.0;Menos de 5 años;;5c0001/10824;1;;;;;;;;TRUE;TRUE;TRUE;TRUE;Sur;;;;;;;Propia;;;TRUE;;TRUE;TRUE;;;;;;;;;;;;;;05/08/2025
Apartamento en Pilar de la Horadada;50045862184,1056;https://www.pisos.com/comprar/apartamento-pilar_de_la_horadada-50045862184_105600/;37,8876974;-0,8298301;Pilar de la Horadada;Alicante;254.900 €;74 m²;;;2;2.0;;;NB-95238;;;;;;;;;;;;;;;;;;;;TRUE;;;;;;;;;;;;;;;;;;;;24/02/2026
Piso en Babel;50046521329,106;https://www.pisos.com/comprar/piso-florida_babel_benalua_babel03008-50046521329_106000/;38,3392116;-0,5095176;Alicante Alacant;Alicante;299.900 €;120 m²;;;3;2.0;Entre 20 y 30 años;En buen estado;3946;TRUE;;Gres;Aluminio;;Independiente;TRUE;;;;;;;;;;;;1;;;Termo electrico;A/a f/c;TRUE;;;;;;;;;TRUE;2ª;;True;;;;Desconocida_Revisada
Chalet en Benissa Costa;50047012539,1093;https://www.pisos.com/comprar/chalet-cala_advocat_baladrar-50047012539_109300/;38,679363755;0,103081679;Benissa;Alicante;2.524.000 €;495 m²;;770 m²;4;4.0;;;VBS0559;;;;;;TRUE;;TRUE;TRUE;TRUE;TRUE;TRUE;Suroeste;;;;;;TRUE;∞;;;Duct based;Radiating floor;TRUE;;;;;;;;;;;;;;;28/08/2025
Chalet en Costa;50047086707,1089;https://www.pisos.com/comprar/chalet-balcon_al_mar_cap_marti_adsubia03738-50047086707_108900/;38,7558828;0,2118254;"X&#xE0;bia J&#xE1;vea";Alicante;635.000 €;238 m²;;1.152 m²;4;3.0;Más de 50 años;;L001615;;;;;TRUE;TRUE;TRUE;TRUE;;;;TRUE;TRUE;;;;;;;Private;;;Split;Centralised;TRUE;;;;;;;;;;;;;;;23/02/2026
Chalet en Vega Baja del Segura;50047965111,1087;https://www.pisos.com/comprar/chalet-san_miguel_de_salinas_centro_urbano-50047965111_108700/;37,953736003;-0,794103129;San Miguel de Salinas;Alicante;849.000 €;332 m²;332 m²;430 m²;5;2.0;Entre 5 y 10 años;;30482;;;;;;;;;;;TRUE;TRUE;;;;;;;1;TRUE;;;TRUE;TRUE;;;;;;;;;;;;;;;;Desconocida_Revisada
